"","X","YEAR","MONTH","DAY","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","SCHEDULED_ARRIVAL","SCHEDULED_TIME","DEPARTURE_TIME","DEPARTURE_DELAY","ELAPSED_TIME","AIR_TIME","DISTANCE","DIVERTED","CANCELLED","CANCELLATION_REASON","SECURITY_DELAY","WEATHER_DELAY"
"1",1,2015,1,1,"AS",98,"N407AS","ANC","SEA",5,430,205,2354,-11,194,169,1448,0,0,"",NA,NA
"2",5,2015,1,1,"AS",135,"N527AS","SEA","ANC",25,320,235,24,-1,215,199,1448,0,0,"",NA,NA
"3",16,2015,1,1,"AS",108,"N309AS","ANC","SEA",45,509,204,41,-4,194,173,1448,0,0,"",NA,NA
"4",19,2015,1,1,"AS",122,"N413AS","ANC","PDX",50,525,215,46,-4,201,187,1542,0,0,"",NA,NA
"5",27,2015,1,1,"AS",130,"N457AS","FAI","SEA",115,548,213,107,-8,218,186,1533,0,0,"",NA,NA
"6",33,2015,1,1,"AS",136,"N431AS","ANC","SEA",135,600,205,NA,NA,NA,NA,1448,0,1,"A",NA,NA
"7",39,2015,1,1,"AS",134,"N464AS","ANC","SEA",155,633,218,140,-15,198,170,1448,0,0,"",NA,NA
"8",44,2015,1,1,"AS",144,"N514AS","ANC","PDX",200,630,210,150,-10,209,182,1542,0,0,"",NA,NA
"9",48,2015,1,1,"AS",114,"N303AS","ANC","SEA",220,640,200,209,-11,199,176,1448,0,0,"",NA,NA
"10",58,2015,1,1,"AS",695,"N607AS","GEG","SEA",500,610,70,456,-4,74,39,224,0,0,"",NA,NA
"11",62,2015,1,1,"AS",730,"N423AS","ANC","SEA",505,930,205,457,-8,199,179,1448,0,0,"",NA,NA
"12",228,2015,1,1,"AS",81,"N577AS","SEA","ANC",600,854,234,557,-3,224,195,1448,0,0,"",NA,NA
"13",229,2015,1,1,"AS",162,"N792AS","FAI","ANC",600,713,73,544,-16,80,44,261,0,0,"",NA,NA
"14",230,2015,1,1,"AS",200,"N767AS","SEA","SJC",600,803,123,550,-10,124,99,697,0,0,"",NA,NA
"15",231,2015,1,1,"AS",342,"N440AS","SEA","OAK",600,759,119,555,-5,108,92,671,0,0,"",NA,NA
"16",232,2015,1,1,"AS",406,"N589AS","PDX","SJC",600,742,102,555,-5,94,82,569,0,0,"",NA,NA
"17",233,2015,1,1,"AS",477,"N453AS","LAX","SEA",600,850,170,555,-5,166,141,954,0,0,"",NA,NA
